True Values,Regression Predictions,CNN1D Predictions,RMSE Regression,R2 Regression,RMSE CNN1D,R2 CNN1D
7.199999999999999,25.346943,23.302929,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
18.8,22.086683,22.790236,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
19.0,20.378542,23.037464,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
27.0,21.656462,24.511843,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
22.2,22.89854,23.093573,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
24.5,22.581821,23.18779,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
31.2,19.208553,22.962418,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
22.9,21.396152,22.729246,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
20.5,17.048023,24.165112,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
23.2,22.383701,23.559973,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
18.6,23.388166,23.393572,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
14.5,19.13838,23.523472,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
17.8,17.279303,23.244324,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
50.0,21.472357,23.802696,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
20.8,23.683718,22.801737,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
24.3,19.089777,23.00581,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
24.2,20.297398,22.847864,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
19.8,22.08301,22.79878,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
19.1,22.693813,23.208763,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
22.7,19.835432,25.360909,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
12.0,22.363129,22.851015,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
10.2,24.246923,23.253601,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
20.0,22.280083,22.936522,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
18.5,20.487349,24.37515,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
20.9,16.257864,23.728832,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
23.0,22.306803,23.603695,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
27.5,21.529085,25.570168,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
30.1,12.836839,25.08894,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
9.5,25.04487,23.310244,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
22.0,21.162773,22.575123,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
21.2,22.552376,22.74884,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
14.1,25.641518,23.549044,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
33.1,18.418898,24.8286,9.780208050389712,-0.14906351892363778,9.027967939525682,0.020898161649538727
